amount,category,description,date
55.70,Housing,Maintenance,2025-12-20
26.12,Shopping,Home supplies,2026-01-31
22.21,Others,Pet care,2025-07-07
11.44,Transport,Metro,2025-08-12
10.74,Food,Groceries,2026-01-14
23.15,Transport,Metro,2025-08-12
18.72,Shopping,Clothes,2025-09-30
11.40,Entertainment,Cinema,2026-01-08
13.89,Entertainment,Streaming,2026-02-16
41.72,Shopping,Online order,2026-01-12
16.82,Food,Groceries,2025-07-11
45.38,Shopping,Online order,2025-06-25
20.07,Entertainment,Streaming,2026-01-27
23.82,Health,Supplements,2025-12-27
14.67,Shopping,Online order,2025-12-09
16.75,Food,Lunch,2025-07-26
13.49,Entertainment,Streaming,2025-11-16
6.66,Transport,Parking,2025-09-23
4.62,Transport,Bus,2025-07-06
46.99,Housing,Utilities,2025-10-03
15.75,Food,Lunch,2025-10-16
21.65,Entertainment,Cinema,2025-09-21
35.27,Housing,Maintenance,2026-01-03
46.55,Housing,Maintenance,2026-02-02
15.94,Others,Pet care,2026-01-13
9.98,Food,Lunch,2025-08-17
11.11,Entertainment,Streaming,2025-07-28
32.29,Health,Pharmacy,2025-11-18
5.45,Others,Pet care,2026-01-24
18.06,Health,Pharmacy,2026-02-07
37.98,Housing,Internet,2025-12-07
10.66,Entertainment,Books,2025-09-24
25.37,Health,Checkup,2025-09-02
16.80,Health,Pharmacy,2026-01-17
19.89,Health,Supplements,2025-07-03
22.05,Entertainment,Streaming,2026-02-05
52.87,Housing,Internet,2025-11-06
15.97,Food,Lunch,2026-01-15
11.95,Food,Groceries,2026-01-07
21.36,Transport,Bus,2025-10-21
7.76,Others,Stationery,2025-11-08
14.35,Others,Misc,2025-07-14
33.40,Housing,Maintenance,2025-08-22
15.34,Transport,Bus,2026-02-02
13.07,Health,Supplements,2026-02-02
40.21,Housing,Utilities,2025-10-24
12.64,Transport,Fuel,2025-12-24
20.62,Shopping,Clothes,2025-09-24
18.25,Transport,Parking,2025-12-11
14.60,Entertainment,Cinema,2026-01-29
26.13,Shopping,Essentials,2026-01-10
25.93,Housing,Maintenance,2025-12-07
13.25,Food,Groceries,2026-01-24
15.09,Health,Supplements,2025-10-09
20.89,Transport,Fuel,2025-07-15
12.68,Health,Checkup,2025-06-28
42.16,Housing,Utilities,2025-09-25
24.55,Housing,Maintenance,2025-09-14
9.29,Others,Pet care,2025-09-14
20.37,Health,Supplements,2025-08-22
9.15,Health,Pharmacy,2025-08-17
8.47,Health,Pharmacy,2025-10-28
20.39,Transport,Bus,2025-07-26
16.86,Shopping,Home supplies,2025-11-17
55.26,Housing,Maintenance,2025-11-10
59.53,Housing,Internet,2025-07-17
31.25,Health,Pharmacy,2026-02-13
27.42,Housing,Utilities,2025-06-26
34.13,Shopping,Online order,2025-10-27
8.86,Entertainment,Cinema,2025-11-23
5.72,Entertainment,Cinema,2025-10-31
45.89,Shopping,Home supplies,2025-12-13
6.81,Transport,Fuel,2025-10-17
14.91,Health,Checkup,2026-01-05
16.54,Others,Stationery,2025-08-16
6.54,Entertainment,Streaming,2025-08-22
13.66,Transport,Parking,2025-12-01
9.36,Entertainment,Streaming,2025-08-05
12.46,Others,Misc,2025-08-15
23.90,Shopping,Home supplies,2025-09-13
21.85,Shopping,Essentials,2025-08-08
7.20,Entertainment,Books,2025-07-13
39.98,Shopping,Essentials,2025-10-23
42.49,Shopping,Home supplies,2025-07-05
6.40,Entertainment,Streaming,2025-07-19
15.63,Health,Pharmacy,2025-09-09
16.80,Entertainment,Books,2025-10-07
59.30,Housing,Internet,2025-08-05
20.93,Food,Coffee,2025-07-01
11.18,Transport,Parking,2025-08-31
4.60,Others,Pet care,2025-08-09
11.39,Entertainment,Streaming,2025-10-30
26.10,Health,Supplements,2025-09-27
12.20,Food,Groceries,2025-08-29
15.52,Food,Coffee,2025-09-07
32.05,Shopping,Home supplies,2025-07-05
10.47,Entertainment,Books,2026-02-02
20.57,Others,Stationery,2025-07-09
16.31,Entertainment,Cinema,2025-08-14
23.62,Transport,Metro,2026-01-27
21.81,Food,Groceries,2025-10-09
15.91,Food,Groceries,2025-10-11
15.83,Health,Supplements,2026-02-03
30.17,Health,Supplements,2025-12-14
40.71,Housing,Maintenance,2025-07-28
12.05,Transport,Bus,2025-09-12
43.07,Housing,Utilities,2025-07-14
13.53,Others,Stationery,2025-07-12
15.09,Food,Coffee,2026-02-03
21.68,Others,Misc,2025-11-05
